Task_ID,Priority,Project_ID,Project_code,Category,Total_developers,TaskPerformance,DeveloperPerformance,Hours_estimate,Hours_logged,Difference,Estimate_Effort
6137,5,9,PC9,Enhancement,1,4.5,4.5,7,2.5,4.5,1.853448276
6465,5,2,PC2,Enhancement,1,-4.5,-4.5,17.5,22,4.5,3.211206897
6666,5,9,PC9,Enhancement,1,-4.5,-4.5,5,9.5,4.5,1.594827586
7383,1,2,PC2,Release,1,4.5,4.5,10,5.5,4.5,2.24137931
7522,5,9,PC9,Bug,1,-4.5,NA,2,6.5,4.5,1.206896552
7522,5,9,PC9,Bug,1,-4.5,-1.5,2,6.5,4.5,1.206896552
7622,2,2,PC2,Enhancement,1,-4.5,-2.5,2,6.5,4.5,1.206896552
7622,2,2,PC2,Enhancement,1,-4.5,NA,2,6.5,4.5,1.206896552
8177,5,9,PC9,Bug,1,-4.5,-3.5,5,9.5,4.5,1.594827586
8177,5,9,PC9,Bug,1,-4.5,NA,5,9.5,4.5,1.594827586
8323,2,2,PC2,Testing,1,-4.5,-4.5,5,9.5,4.5,1.594827586
8807,5,2,PC2,Bug,1,-4.5,-4,3,7.5,4.5,1.336206897
8807,5,2,PC2,Bug,1,-4.5,NA,3,7.5,4.5,1.336206897
8848,1,2,PC2,Bug,1,4.5,4.5,7,2.5,4.5,1.853448276
8989,2,17,PC17,Enhancement,1,-4.5,-4.5,21,25.5,4.5,3.663793103
9569,1,2,PC2,Release,1,4.5,4.5,7,2.5,4.5,1.853448276
9572,1,2,PC2,Release,1,4.5,4.5,7,2.5,4.5,1.853448276
9601,2,4,PC4,Enhancement,1,-4.5,NA,4,8.5,4.5,1.465517241
9601,2,4,PC4,Enhancement,1,-4.5,-3.5,4,8.5,4.5,1.465517241
9875,5,4,PC4,Enhancement,1,-4.5,0.5,7,11.5,4.5,1.853448276
9875,5,4,PC4,Enhancement,1,-4.5,NA,7,11.5,4.5,1.853448276
10522,1,9,PC9,Testing,1,-4.5,-4.5,7,11.5,4.5,1.853448276
11527,1,13,PC13,Enhancement,1,4.5,4.5,70,65.5,4.5,10
11787,1,2,PC2,Enhancement,1,-4.5,-4.5,10,14.5,4.5,2.24137931
11881,5,6,PC6,Enhancement,1,-4.5,-4.5,8,12.5,4.5,1.982758621
12302,1,2,PC2,Enhancement,1,-4.5,-4.5,28,32.5,4.5,4.568965517
12582,1,2,PC2,Enhancement,1,-4.5,-4.5,8,12.5,4.5,1.982758621
12912,1,5,PC5,Bug,1,4.45,4.45,15,10.55,4.45,2.887931034
12333,1,6,PC6,Enhancement,1,4.44,4.44,7,2.56,4.44,1.853448276
12573,1,6,PC6,Enhancement,1,4.42,4.42,18,13.58,4.42,3.275862069
5533,3,2,PC2,Enhancement,1,4.4,4.4,5,0.6,4.4,1.594827586
7809,1,9,PC9,Enhancement,1,4.35,4.35,7,2.65,4.35,1.853448276
13089,1,5,PC5,Bug,1,-4.32,-4.32,2,6.32,4.32,1.206896552
12068,1,6,PC6,Release,1,4.3,NA,35,30.7,4.3,5.474137931
12068,1,6,PC6,Release,1,4.3,4.8,35,30.7,4.3,5.474137931
12207,1,6,PC6,Bug,1,4.27,4.27,21,16.73,4.27,3.663793103
6246,1,9,PC9,Enhancement,1,-4.25,NA,5.31,9.56,4.25,1.634913793
6246,1,9,PC9,Enhancement,1,-4.25,0,5.31,9.56,4.25,1.634913793
5098,1,2,PC2,Enhancement,1,-4.25,-4.25,3,7.25,4.25,1.336206897
5152,1,9,PC9,Enhancement,1,-4.25,-4.25,4,8.25,4.25,1.465517241
5445,1,9,PC9,Testing,1,4.25,5.5,7,2.75,4.25,1.853448276
5445,1,9,PC9,Testing,1,4.25,NA,7,2.75,4.25,1.853448276
5680,5,9,PC9,Testing,1,-4.25,-4.25,2.5,6.75,4.25,1.271551724
5934,3,2,PC2,Enhancement,1,-4.25,-4.25,7,11.25,4.25,1.853448276
6187,5,9,PC9,Enhancement,1,-4.25,-4.25,7,11.25,4.25,1.853448276
6384,5,9,PC9,Enhancement,1,4.25,4.25,7,2.75,4.25,1.853448276
6881,1,9,PC9,Release,1,-4.25,0.75,5,9.25,4.25,1.594827586
6881,1,9,PC9,Release,1,-4.25,NA,5,9.25,4.25,1.594827586
6919,5,2,PC2,Enhancement,1,4.25,4.25,7,2.75,4.25,1.853448276
7604,5,9,PC9,Enhancement,1,-4.25,-4.25,7,11.25,4.25,1.853448276
8335,1,2,PC2,Release,1,-4.25,-4.25,7,11.25,4.25,1.853448276
8376,1,2,PC2,Bug,1,-4.25,-4.25,5,9.25,4.25,1.594827586
8715,1,2,PC2,Bug,1,4.25,4.25,5,0.75,4.25,1.594827586
9109,2,2,PC2,Bug,1,-4.25,-4.25,3.5,7.75,4.25,1.400862069
9298,1,2,PC2,Bug,1,-4.25,-4.25,1,5.25,4.25,1.077586207
9411,1,2,PC2,Bug,1,-4.25,-4.25,1,5.25,4.25,1.077586207
